Zboží;Poèet SVM;Kateg.zboží
1109970;0,000;F0704
1108540;0,000;F0704
1101518;0,000;F0704
1101517;0,000;F0704
1105447;0,000;F0704
1101515;0,000;F0704
1111568;0,000;F0704
1105446;0,000;F0704
1109971;0,000;F0704
1082160;0,000;F0704
1082159;0,000;F0704
1064232;0,000;F0704
1111564;0,000;F0704
1101512;0,000;F0704
1082158;0,000;F0704
1082157;0,000;F0704
1110795;0,000;A0701
1110954;0,000;D0101
1110955;1;D0101
1098022;1;D0101
1075596;1;D0101
1110956;1;D0101
1098021;1;D0101
1075595;0,000;D0101
1075594;1;D0101
1108403;0,000;D0101
1113734;1;D0101
1076968;1;D0101
1076967;0,000;D0101
1061534;1;D0101
1110537;1;D0103
1063228;1;D0103
1114288;0,000;D0103
1093198;0,000;D0102
1107235;0,000;C0703
1112169;0,000;C0703
1065883;0,000;C0703
1107232;1;C0703
1107233;1;C0703
1107234;1;C0703
1112170;0,000;C0703
1107231;1;C0703
1112168;0,000;C0703
1069722;0,000;F0701
1082156;0,000;F0704
1069721;0,000;F0701
1074521;0,000;A0604
1103365;1;B0501
1110857;1;F0701
1104832;0,000;F0701
1104830;0,000;F0701
1104829;1;F0701
1104831;1;F0701
1099136;0,000;F0701
1099137;0,000;F0701
1094788;0,000;F0701
1089515;1;F0701
1089514;0,000;F0701
1089513;1;F0701
1089512;1;F0701
1089511;1;F0701
1084833;1;F0701
1084832;1;F0701
1084831;0,000;F0701
1084830;0,000;F0701
1094514;0,000;D0101
1096884;1;D0101
1096196;0,000;D0101
1049086;1;D0203
1048259;1;D0101
1110890;0,000;D0101
1021120;0,000;A0103
1110889;0,000;D0101
1074465;1;D0101
1098223;0,000;D0101
1110887;0,000;D0101
1074464;0,000;D0101
1043384;0,000;D0101
1043380;0,000;D0101
1063391;0,000;D0101
1103754;0,000;D0101
1046210;0,000;D0101
1103753;1;D0101
1096195;0,000;D0101
1089506;0,000;F0701
1089504;0,000;F0701
1114287;0,000;D0101
1112910;0,000;D0101
1071142;1;D0101
1100140;1;D0101
1074964;0,000;D0101
1110858;0,000;F0701
1079539;0,000;F0701
1110888;0,000;D0101
1074463;0,000;D0101
1074462;1;D0101
1110886;0,000;D0101
1074461;0,000;D0101
1096194;0,000;D0101
1096681;0,000;A0405
1099524;0,000;A0104
1097980;0,000;B0301
1097992;0,000;B0301
1085651;0,000;C0103
1093553;0,000;C0103
1085650;0,000;C0103
1085649;0,000;C0103
1085648;0,000;C0103
1082809;0,000;C0503
1082808;0,000;C0503
1082807;0,000;C0503
1082804;0,000;C0503
1084211;1;C0101
1104133;1;C0101
1084212;1;C0101
1103683;0,000;B0105
1103684;0,000;B0105
1079536;0,000;C0104
1098989;0,000;C0103
1084114;0,000;C0104
1098987;0,000;C0103
1098986;0,000;C0103
1098988;0,000;C0103
1112960;0,000;C0103
1112956;0,000;C0103
1112953;0,000;C0103
1112961;0,000;C0103
1112957;0,000;C0103
1111647;0,000;C0103
1111646;0,000;C0103
1111645;0,000;C0103
1111644;0,000;C0103
1111643;0,000;C0103
1112959;0,000;C0103
1112954;0,000;C0103
1112958;0,000;C0103
1112955;0,000;C0103
1111663;0,000;C0103
1111662;0,000;C0103
1111661;0,000;C0103
1111660;0,000;C0103
1098985;0,000;C0103
1098984;0,000;C0103
1098983;0,000;C0103
1098982;0,000;C0103
1111667;0,000;C0103
1111666;0,000;C0103
1111665;0,000;C0103
1111664;0,000;C0103
1115493;0,000;C0103
1115495;0,000;C0103
1115494;0,000;C0103
1115512;0,000;C0103
1112801;0,000;C0103
1114575;0,000;C0103
1095135;0,000;C0114
1108201;0,000;C0114
1108117;0,000;C0114
1101190;0,000;C0114
1104117;0,000;C0114
1093551;0,000;C0114
1111600;0,000;C0114
1111599;0,000;C0114
1111598;0,000;C0114
1111597;0,000;C0114
1111596;0,000;C0114
1087596;0,000;C0114
1106152;0,000;C0114
1106158;0,000;C0114
1096357;0,000;C0114
1096356;0,000;C0114
1087595;0,000;C0114
1084113;0,000;C0114
1084312;0,000;C0114
1084112;0,000;C0114
1084111;0,000;C0114
1106156;0,000;C0114
1093550;0,000;C0114
1087594;0,000;C0114
1110348;0,000;C0114
1108199;0,000;C0114
1093549;0,000;C0114
1093548;0,000;C0114
1090152;0,000;C0114
1087583;0,000;C0114
1084110;0,000;C0114
1087582;0,000;C0114
1108198;0,000;C0114
1111594;0,000;C0114
1110010;0,000;C0114
1110003;0,000;C0114
1114565;0,000;C0114
1110004;0,000;C0114
1099396;0,000;C0114
1114950;0,000;C0114
1104116;0,000;C0114
1110005;0,000;C0114
1106154;0,000;C0114
1106153;0,000;C0114
1110344;0,000;C0114
1080656;0,000;B0205
1084310;0,000;C0104
1084309;0,000;C0104
1084307;0,000;C0104
1115497;0,000;C0104
1115503;0,000;C0104
1085647;0,000;C0104
1085646;0,000;C0104
1115502;0,000;C0104
1115501;0,000;C0104
1115504;0,000;C0104
1084306;0,000;C0104
1084109;0,000;C0104
1080504;0,000;B0205
1104131;0,000;C0104
1079532;0,000;A0704
1084107;0,000;C0106
1111648;0,000;C0103
1111649;0,000;C0103
1100827;0,000;C0103
1108195;0,000;C0103
1108194;0,000;C0103
1108193;0,000;C0103
1098978;0,000;C0103
1104119;0,000;C0103
1104118;0,000;C0103
1098979;0,000;C0103
1104125;0,000;C0103
1104124;0,000;C0103
1104123;0,000;C0103
1104122;0,000;C0103
1104121;0,000;C0103
1104120;0,000;C0103
1108196;0,000;C0103
1115106;0,000;C0103
1106167;0,000;C0103
1108197;0,000;C0103
1111653;0,000;C0103
1111650;0,000;C0103
1110352;0,000;C0103
1115498;0,000;C0103
1108209;0,000;C0103
1111652;0,000;C0103
1111651;0,000;C0103
1115513;0,000;C0103
1115500;0,000;C0103
1115499;0,000;C0103
1110008;0,000;C0103
1103295;0,000;C0103
1103296;0,000;C0103
1108192;0,000;C0103
1080503;0,000;B0204
1080502;0,000;B0204
1095946;0,000;B0205
1095134;0,000;C0113
1102710;0,000;C0116
1102708;0,000;C0116
1084105;0,000;C0106
1084104;0,000;C0106
1084102;0,000;C0116
1084101;0,000;C0116
1084100;0,000;C0116
1084098;0,000;C0116
1084304;0,000;C0106
1084095;0,000;C0108
1084314;0,000;C0108
1084094;0,000;C0106
1084092;0,000;C0106
1084303;0,000;C0108
1084091;0,000;C0108
1084090;0,000;C0108
1084089;0,000;C0106
1084088;0,000;C0106
1084087;0,000;C0106
1111658;0,000;C0108
1111659;0,000;C0108
1111657;0,000;C0108
1082803;0,000;C0109
1115526;0,000;C0103
1115527;0,000;C0103
1102716;0,000;C0103
1102720;0,000;C0103
1102715;0,000;C0103
1102713;0,000;C0103
1108200;0,000;C0114
1115496;0,000;C0114
1111854;0,000;C0114
1111853;0,000;C0114
1103298;0,000;C0114
1103297;0,000;C0114
1112962;0,000;C0114
1110346;0,000;C0114
1093547;0,000;C0114
1115516;0,000;C0114
1114564;0,000;C0114
1103291;0,000;C0114
1093546;0,000;C0114
1115530;0,000;C0114
1112800;0,000;C0114
1115529;0,000;C0114
1115528;0,000;C0114
1080501;0,000;B0105
1084075;0,000;C0103
1084073;0,000;C0103
1084015;0,000;C0103
1110914;0,000;C0106
1110915;0,000;C0106
1110916;0,000;C0106
1102481;0,000;C0103
1102480;0,000;C0103
1083996;0,000;C0104
1083995;0,000;C0112
1083994;0,000;C0115
1083989;0,000;C0106
1083988;0,000;C0106
1083985;0,000;C0106
1083984;0,000;C0115
1084052;0,000;C0115
1083982;0,000;C0115
1083981;0,000;C0115
1083980;0,000;C0104
1083979;0,000;C0106
1098977;0,000;C0103
1103293;0,000;C0103
1093545;0,000;C0103
1093544;0,000;C0103
1093542;0,000;C0103
1103294;0,000;C0103
1093541;0,000;C0103
1093540;0,000;C0103
1093539;0,000;C0103
1093538;0,000;C0103
1103292;0,000;C0103
1093537;0,000;C0103
1093536;0,000;C0103
1093535;0,000;C0103
1093534;0,000;C0103
1093533;0,000;C0103
1093532;0,000;C0103
1093531;0,000;C0103
1093530;0,000;C0103
1083978;0,000;C0103
1083977;0,000;C0103
1083976;0,000;C0103
1084050;0,000;C0103
1085645;0,000;C0103
1083975;0,000;C0103
1083974;0,000;C0103
1093529;0,000;C0103
1092391;0,000;C0103
1093528;0,000;C0103
1092390;0,000;C0103
1092389;0,000;C0103
1092388;0,000;C0103
1104129;0,000;C0103
1104127;0,000;C0103
1104126;0,000;C0103
1083973;0,000;C0103
1083972;0,000;C0103
1099400;0,000;C0103
1084049;0,000;C0103
1084048;0,000;C0103
1085644;0,000;C0103
1083971;0,000;C0103
1084047;0,000;C0103
1099048;0,000;C0103
1104128;0,000;C0103
1083970;0,000;C0103
1083969;0,000;C0103
1096364;0,000;C0103
1084070;0,000;C0103
1084069;0,000;C0103
1085643;0,000;C0103
1083968;0,000;C0103
1083967;0,000;C0103
1104130;0,000;C0103
1096363;0,000;C0103
1099047;0,000;C0103
1090655;0,000;C0103
1090656;0,000;C0103
1090657;0,000;C0103
1084046;0,000;C0103
1084045;0,000;C0103
1083966;0,000;C0103
1083965;0,000;C0103
1084044;0,000;C0103
1102444;0,000;C0103
1085642;0,000;C0103
1083964;0,000;C0103
1083963;0,000;C0103
1083962;0,000;C0103
1084043;0,000;C0103
1083961;0,000;C0103
1083960;0,000;C0103
1084041;0,000;C0103
1084068;0,000;C0103
1084040;0,000;C0103
1084038;0,000;C0103
1084037;0,000;C0103
1084036;0,000;C0103
1084067;0,000;C0103
1095544;0,000;C0103
1095543;0,000;C0103
1085641;0,000;C0103
1085640;0,000;C0103
1084033;0,000;C0103
1084028;0,000;C0103
1102707;0,000;C0103
1102706;0,000;C0103
1093527;0,000;C0103
1093526;0,000;C0103
1084027;0,000;C0103
1084026;0,000;C0103
1084066;0,000;C0103
1084025;0,000;C0103
1084024;0,000;C0103
1084023;0,000;C0103
1084022;0,000;C0103
1084020;0,000;C0103
1104132;0,000;C0110
1092381;0,000;C0117
1107999;0,000;C0117
1115525;0,000;C0103
1083959;0,000;C0103
1083957;0,000;C0103
1083958;0,000;C0103
1083956;0,000;C0103
1083955;0,000;C0103
1092392;0,000;C0106
1083954;0,000;C0106
1083951;0,000;C0103
1083950;0,000;C0103
1083949;0,000;C0103
1083948;0,000;C0103
1083947;0,000;C0103
1083946;0,000;C0103
1083945;0,000;C0103
1090654;0,000;C0103
1083942;0,000;C0103
1083941;0,000;C0103
1083940;0,000;C0103
1083939;0,000;C0103
1093525;0,000;C0103
1083938;0,000;C0103
1083937;0,000;C0103
1083936;0,000;C0103
1083935;0,000;C0103
1084065;0,000;C0103
1084064;0,000;C0103
1084063;0,000;C0103
1084062;0,000;C0103
1110931;0,000;C0103
1110933;0,000;C0103
1115515;0,000;C0103
1110930;0,000;C0103
1110932;0,000;C0103
1108190;0,000;C0103
1108189;0,000;C0103
1093524;0,000;C0103
1108184;0,000;C0103
1093523;0,000;C0103
1093522;0,000;C0103
1093521;0,000;C0103
1108188;0,000;C0103
1099046;0,000;C0103
1092334;0,000;C0103
1093520;0,000;C0103
1093519;0,000;C0103
1093518;0,000;C0103
1092339;0,000;C0103
1108187;0,000;C0103
1092336;0,000;C0103
1110013;0,000;C0103
1099395;0,000;C0103
1093517;0,000;C0103
1093516;0,000;C0103
1093515;0,000;C0103
1111629;0,000;C0103
1111628;0,000;C0103
1111627;0,000;C0103
1108186;0,000;C0103
1115506;0,000;C0103
1115508;0,000;C0103
1095125;0,000;C0106
1095124;0,000;C0106
1095123;0,000;C0106
1083932;0,000;C0103
1093514;0,000;C0103
1083931;0,000;C0103
1083930;0,000;C0103
1083929;0,000;C0103
1083928;0,000;C0103
1083927;0,000;C0103
1084148;0,000;C0106
1084147;0,000;C0106
1084144;0,000;C0106
1083924;0,000;C0104
1083923;0,000;C0104
1083922;0,000;C0104
1083921;0,000;C0104
1083920;0,000;C0104
1083919;0,000;C0104
1084143;0,000;C0106
1084141;0,000;C0106
1084140;0,000;C0106
1102461;0,000;C0103
1102462;0,000;C0103
1083913;0,000;C0106
1093513;0,000;C0106
1098990;0,000;C0103
1098312;0,000;F0704
1082155;0,000;F0704
1082154;0,000;F0704
1082153;0,000;F0704
1082152;0,000;F0704
1082151;0,000;F0704
1082150;0,000;F0704
1104246;0,000;F0704
1104245;0,000;F0704
1089510;0,000;F0704
1104244;0,000;F0704
1104243;0,000;F0704
1095133;0,000;C0106
1095132;0,000;C0106
1114574;0,000;C0103
1083886;0,000;C0103
1083884;0,000;C0103
1083883;0,000;C0103
1084059;0,000;C0103
1083909;0,000;C0103
1083907;0,000;C0103
1083904;0,000;C0103
1083900;0,000;C0103
1083898;0,000;C0103
1083897;0,000;C0103
1083896;0,000;C0103
1083895;0,000;C0103
1083894;0,000;C0103
1083879;0,000;C0103
1083876;0,000;C0110
1111602;0,000;C0110
1111601;0,000;C0110
1083875;0,000;C0110
1083874;0,000;C0110
1083873;0,000;C0110
1083872;0,000;C0110
1102711;0,000;C0110
1083871;0,000;C0106
1083869;0,000;C0110
1108179;0,000;C0110
1087581;0,000;C0110
1083868;0,000;C0110
1079528;0,000;C0104
1079527;0,000;C0104
1083702;0,000;C0104
1083701;0,000;C0104
1083700;0,000;C0104
1083699;0,000;C0104
1083698;0,000;C0104
1083697;0,000;C0112
1083695;0,000;C0112
1083694;0,000;C0112
1083693;0,000;C0104
1083692;0,000;C0104
1083691;0,000;C0112
1111669;0,000;C0109
1111670;0,000;C0109
1116095;0,000;C0109
1083860;0,000;C0109
1098981;0,000;C0109
1098980;0,000;C0109
1082802;0,000;C0109
1082801;0,000;C0109
1082800;0,000;C0109
1083038;0,000;C0109
1083037;0,000;C0109
1083866;0,000;C0109
1083865;0,000;C0109
1083864;0,000;C0109
1080497;0,000;B0205
1080496;0,000;B0205
1083859;0,000;C0106
1083858;0,000;C0106
1095967;0,000;B0205
