ZboûÌ;Model;Kr·t.text zboûÌ;Stav skladu;PoËet SVM;»·stka;Blokov·no;V kontrole jakosti;KÛd GTIN
1106494;SHB3060WT/00;SHB3060WT,bezdr·t.sluch·tka s Bluetooth;2;0,000;1049,00;0,000;0,000;6925970703468
1106495;SHB3060BK/00;SHB3060BK,bezdr·t.sluch·tka s Bluetooth;2;0,000;1049,00;0,000;0,000;6925970703475
1079486;RS160;RS 160,bezdr·tov· sluch·tka,dosah aû 20m;1;0,000;4589,00;0,000;0,000;4044155045420
1079485;RS120II;RS 120II,bezdr·t.RF sluch,dosah aû 100m;1;0,000;2749,00;0,000;0,000;4044155071825
1100172;MHNG2ZM/A;Solo2 Wireless Headphones,Black;1;0,000;7499,00;0,000;0,000;848447021185
1099890;MDRZX770BNB;ZX770BNB,bezdr.sluch.p¯es hlavu,BT,Ëern·;1;0,000;3499,00;0,000;0,000;4905524994513
1037594;MDRZX100B;Sluch·tka s hlavov˝m mostem , Ëern·;1;0,000;298,00;0,000;1,000;4905524693706
1040075;MDRRF865RK;MDRRF865RK,bezdr·t.HiFi sluch·tka HOME;1;0,000;1999,00;0,000;0,000;4905524700206
1058782;MDRRF855RK;MDRRF855RK,bezdr·t.HiFi sluch·tka HOME;2;0,000;1799,00;0,000;0,000;4905524858679
1075926;MDRRF811RK;MDRRF811RK,bezdr·tov· TV sluch·tka;2;0,000;1599,00;0,000;0,000;4905524950311
1050681;MDREX10LPV;Sluch·tka ANYWHERE barva fialov·;0,000;0,000;199,00;0,000;1,000;4905524732412
1037606;MDREX10LPR;Klapkov· sluch·tka sÈrie EX, Ëerven·;1;0,000;169,00;0,000;0,000;4905524732429
1052388;HAMA150906;KPH7,otev¯en· sluch·tka na uöi;8;0,000;199,00;0,000;0,000;21299181003
1098886;HAMA131957;Bezdr·tov· sluch·tka WHP3001;3;0,000;1199,00;0,000;0,000;4047443124371
1073777;AS130;docking repro,Clock,BT;2;1;997,00;0,000;0,000;8712581619206
1074521;WS-831;WS-831, digit·lnÌ z·znamnÌk;0,000;0,000;1399,00;0,000;0,000;4545350045289
1107453;VP10;OLYMPUS VP-10 diktafon;0,000;0,000;2799,00;0,000;0,000;4545350047856
1095009;VN732PCMIC;Diktafon VN-732PC + stereo mikrofon ME51;1;1;1197,00;0,000;0,000;4017386434332
1074525;VN731PC;VN-731PC , digit·lny z·znamnÌk;3;0,000;999,00;0,000;0,000;4545350045555
1007802;ME52W;Mikrofon ME-52W;1;0,000;599,00;0,000;0,000;4545350008437
1075932;ICDUX543B;Digit·lnÌ z·znamnÌk 4GB Black UX543B;4;1;2899,00;0,000;0,000;4905524963311
1099896;ICDTX650B;ICDTX650B.CE7;0,000;0,000;3299,00;0,000;0,000;4905524993448
1075931;ICDPX440;Digit·lnÌ z·znamnÌk 4GB Black PX440;0,000;0,000;1797,00;0,000;0,000;4905524971491
1075930;ICDPX240;Digit·lnÌ z·znamnÌk 4GB st¯Ìbrn˝ PX240;0,000;1;1249,00;0,000;0,000;4905524963410
1075929;ICDBX140;Digit·lnÌ z·znamnÌk 4GB st¯Ìbrn˝ BX140;1;1;999,00;0,000;0,000;4905524963373
1086754;DVT6000;"DVT6000 FM TUNER,1,77"" BAREVN› DISPLAY";0,000;0,000;3399,00;0,000;0,000;9120056500512
1086752;DVT2500;DVT2500,STEREO,HLASOV¡ AKTIVACE;2;0,000;1749,00;0,000;0,000;9120056500444
1066728;DVT1200;DVT1200 4GB,MICRO SDHC;2;0,000;1199,00;0,000;0,000;9120056500055
1110798;XAVW650BT;SONY XAVW650BT.EUR;0,000;0,000;9290,00;0,000;0,000;4548736005839
1101644;XAV68BT;Sony autor·dio 2 DIN,DVD,BT,UBS,MP3,AUX;0,000;0,000;7997,00;0,000;0,000;4905524972238
1079563;XAV65;Sony autor·dio 2DIN;-1;1;5499,00;0,000;1,000;4905524933277
1110795;WX800UI;SONY WX800UI.EUR;0,000;0,000;4290,00;0,000;0,000;4548736004948
1096680;SCT3016MR;car audio,USB,SD,RDS,4x40W,FM,/AM;0,000;0,000;799,00;0,000;1,000;8590669112074
1079558;SCT3015BUN;Sencor autor·dio+SD karta SCT3015;0,000;0,000;899,00;0,000;0,000;8590669199259
1103742;MVHX380BT;AUTOR¡DIO usb/rds/BT;2;0,000;2599,00;0,000;0,000;4988028309823
1103739;MVH180UI;AUTOR¡DIO usb/rds;1;0,000;1599,00;0,000;0,000;4988028309892
1103741;MVH180UBG;AUTOR¡DIO usb/rds;2;0,000;1399,00;0,000;0,000;4988028309885
1103740;MVH180UB;AUTOR¡DIO usb/rds;0,000;0,000;1399,00;0,000;0,000;4988028309878
1071448;DSXA60BT;Sony autor·dio s BT;1;0,000;2497,00;0,000;0,000;4905524932713
1068048;DSXA42UI;car audio,USB,AUX,IP/IPH;0,000;1;1497,00;0,000;0,000;4905524949605
1068047;DSXA40UI;Sony autor·dio ,USB,AUX,RDS;0,000;1;1299,00;0,000;0,000;4905524930658
1110794;DSXA400BT;SONY DSXA400BT;0,000;0,000;2949,00;0,000;0,000;4548736005037
1110793;DSXA202UI;SONY DSXA202UI.EUR;1;0,000;1890,00;0,000;0,000;4548736004993
1110792;DSX-A200UI;SONY DSXA200UI.EUR;4;0,000;1890,00;0,000;0,000;4548736004962
1103751;DEHX6800DAB;AUTOR¡DIO usb/rds/cd/DAB;0,000;0,000;3599,00;0,000;0,000;4988028309649
1103750;DEHX5800BT;AUTOR¡DIO usb/rds/cd/BT;0,000;0,000;3799,00;0,000;0,000;4988028309601
1103748;DEHX3800UI;AUTOR¡DIO usb/rds/cd/iPhone;2;0,000;2899,00;0,000;0,000;4988028309465
1103749;DEH4800BT;AUTOR¡DIO usb/rds/cd/BT;1;1;3299,00;0,000;0,000;4988028309755
1103747;DEH2800UI;AUTOR¡DIO usb/rds/cd/iPhone;2;0,000;2589,00;0,000;0,000;4988028309748
1103746;DEH1800UBG;AUTOR¡DIO usb/rds/cd;0,000;0,000;1938,00;0,000;0,000;4988028309724
1103745;DEH1800UBB;AUTOR¡DIO usb/rds/cd;2;0,000;1938,00;0,000;0,000;4988028309717
1103744;DEH1800UBA;AUTOR¡DIO usb/rds/cd;2;0,000;1938,00;0,000;0,000;4988028309700
1103743;DEH1800UB;AUTOR¡DIO usb/rds/cd;1;0,000;1938,00;0,000;0,000;4988028309694
1102016;CRMD7222SU;Autor·dio hyundai;1;0,000;2999,00;0,000;0,000;8592417008431
1093440;CDXG3100UV;autor·dio CD/MP3,4x45W,USB,AUX,RDS;2;1;2499,00;0,000;0,000;4905524971071
1093439;CDXG1102U;CDXG1102U, autor·dio;3;2;1999,00;0,000;0,000;4905524971064
1093438;CDXG1101U;Sony autor·dio CD/MP3,4x55W,USB,AUX,RDS;3;2;1999,00;0,000;0,000;4905524971057
1093437;CDXG1100U;autor·dio,CD,MP3,USB,ËervenÈpodsv.;2;2;2159,00;0,000;0,000;4905524971040
1107444;AR-121;autor·dio Orava;2;0,000;949,00;0,000;0,000;8586016720740
1102530;XSXB690U;Auto reproduktory;2;0,000;3399,00;0,000;0,000;27242878327
1102529;XSXB160U;Auto reproduktory;2;0,000;3199,00;0,000;0,000;4548736013599
1102528;XSXB130U;Sony 13 Auto reproduktory;1;0,000;2899,00;0,000;0,000;4548736013605
1079569;XSGT6938F;CAR SPEAKERS 6x9' PAIR;0,000;0,000;997,00;0,000;0,000;4905524859898
1079568;XSGT1738F;Sony Auto reproduktory 17CM;0,000;0,000;797,00;0,000;0,000;4905524859911
1084280;XSGT1038F;Sony Auto reproduktory 10cm,30W;0,000;0,000;497,00;0,000;0,000;4905524859959
1102527;XSFB6930U;Auto reproduktory;2;0,000;2199,00;0,000;0,000;4548736011571
1102526;XSFB1730EUR;Sony 17 Auto reproduktory;1;0,000;1499,00;0,000;0,000;4905524971194
1102525;XSFB1330U;Sony 13 Auto reproduktory;2;0,000;1199,00;0,000;0,000;4548736011588
1102524;XSFB1030U;Sony 10 Auto reproduktory;1;0,000;839,00;0,000;0,000;4548736011595
